Data,Australia,Austria,Belgium,Brazil,Canada,China,Denmark,Euro,Finland,France,Germany,Greece,Hong Kong,India,Ireland,Italy,Japan,Malaysia,Mexico,Netherlands,New Zealand,Norway,Portugal,Singapore,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,United Kingdom,Venezuela
1971-01-01,0.8803,,,,1.0099,,7.4048,,,,,,,,,,347.79,3.0318,,,0.88,7.0222,,,0.7129,,,,5.1051,4.1171,,,,
1972-01-01,0.8387,,,,0.9907,,6.9531,,,,,,,,,,303.13,2.8085,,,0.8379,6.5875,,,0.7732,,,,4.7571,3.8186,,,,
1973-01-01,0.7047,,,,1.0002,,6.0447,,,,,,,7.65,,,271.31,2.4468,,,0.7355,5.7535,,,0.6964,,,,4.3619,3.1688,,,,
1974-01-01,0.695,,,,0.9780,,6.0925,,,,,,,8.03,,,291.84,2.4070,,,0.7142,5.5255,,,0.6806,,,,4.4387,2.9805,,,,
1975-01-01,0.7647,,,,1.0175,,5.7481,,,,,,,8.41,,,296.78,2.4029,,,0.8254,5.2283,,,0.7408,,,,4.1531,2.5839,,,,
1976-01-01,0.8187,,,,0.9863,,6.0461,,,,,,,8.97,,,296.45,2.5422,,,1.0089,5.4590,,,0.8707,,,,4.3580,2.5002,,,,
1977-01-01,0.9024,,,,1.0633,,6.0050,,,,,,,8.77,,,268.62,2.4625,,,1.0321,5.3240,,,0.8697,,,,4.4802,2.4065,,,,
1978-01-01,0.874,,,,1.1405,,5.5162,,,,,,,8.20,,,210.39,2.3168,,,0.9649,5.2467,,,0.8695,,,,4.5207,1.7907,,,,
1979-01-01,0.8947,,,,1.1713,,5.2623,,,,,,,8.16,,,219.02,2.1883,,,0.9782,5.0651,,,0.8424,,,,4.2893,1.6644,,,,
1980-01-01,0.8776,,,,1.1693,,5.6346,,,,,,,7.89,,,226.63,2.1768,,,1.0273,4.9382,,,0.7796,,,,4.2310,1.6772,,,,
1981-01-01,0.8699,,,,1.1990,1.7100,7.1351,,,,,,5.5901,8.68,,,220.63,2.3048,,,1.1514,5.7431,,2.1138,0.8787,686.07,,,5.0660,1.9675,,21.819,,
